Statistics,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
mean,0.11249999999999999,0.27499999999999997,0.3993055555555556,0.010416666666666666,0.17499999999999996,0.24513888888888888,0.24513888888888888,0.32916666666666666,0.4805555555555556,0.0701388888888889,0.0701388888888889,0.24513888888888888,0.39375,0.17847222222222223,0.029861111111111113
median,0.11666666666666667,0.26666666666666666,0.3916666666666667,0.0,0.16666666666666666,0.24166666666666667,0.24166666666666667,0.32499999999999996,0.48333333333333334,0.06666666666666668,0.06666666666666668,0.24166666666666667,0.38333333333333336,0.175,0.016666666666666666
std,0.01998263134713633,0.026787918780535987,0.03280101577394318,0.017221662177273948,0.01800205749557739,0.020114928274944772,0.020114928274944772,0.025115474055590455,0.0465640405951117,0.008304347738264857,0.008304347738264857,0.020114928274944772,0.033268165463898575,0.025675668815744658,0.024990353077009142
percentile_25,0.1,0.26666666666666666,0.38333333333333336,0.0,0.16666666666666666,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.45,0.06666666666666668,0.06666666666666668,0.23333333333333334,0.36666666666666664,0.16666666666666666,0.016666666666666666
percentile_75,0.11666666666666667,0.2833333333333333,0.4166666666666667,0.016666666666666666,0.18333333333333332,0.25,0.25,0.33749999999999997,0.5041666666666667,0.07083333333333335,0.07083333333333335,0.25,0.4166666666666667,0.2,0.05
iqr,0.016666666666666663,0.016666666666666663,0.033333333333333326,0.016666666666666666,0.016666666666666663,0.016666666666666663,0.016666666666666663,0.020833333333333315,0.05416666666666664,0.004166666666666666,0.004166666666666666,0.016666666666666663,0.050000000000000044,0.033333333333333354,0.03333333333333334
skew,3.3906256894498283,2.5288241329554952,0.976353140718905,3.062648767354541,2.8766553100075756,1.7108843498837836,1.7108843498837836,1.452008822431106,1.1459704006746152,0.3567186196533734,0.3567186196533734,1.7108843498837836,0.7116854884567699,-0.12041460799211413,1.4701082503841567
kurtosis,12.389413988657864,8.522372528616048,1.8709661605818795,10.470196311719212,9.75000000000002,4.2112367723082595,4.2112367723082595,3.873916337008672,2.6082496422284303,0.056041860237663776,0.056041860237663776,4.2112367723082595,0.4162399077277952,-0.11913699925455834,3.792540957946363
mad,0.011458333333333334,0.01666666666666666,0.024305555555555563,0.011284722222222222,0.011805555555555547,0.01458333333333333,0.01458333333333333,0.018055555555555554,0.03379629629629629,0.006597222222222223,0.006597222222222223,0.01458333333333333,0.026562500000000006,0.021527777777777785,0.01846064814814815
