Statistics,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
mean,0.17049475981311293,0.4174566007635014,0.606538625906685,0.015308970768881358,0.26562176079772803,0.3725334031080627,0.3725334031080627,0.4999423021682477,0.7295883667402011,0.15428068741533593,0.150678118228696,0.47917095569817963,-0.4010916436723053,-0.06744085329770978,-0.9308242323439383,-0.5797398868573876,-0.5797398868573876,0.3088700242456572,-0.3659483653841842,-0.3786580336000618,0.3510843454865507,0.3510843454865507,-0.08021448287482039,0.2286555413708368,-1.2396942565895956,-1.1612074193843849,-11.166424813394855,-11.166424813394855,-0.05308715651121334,1.1453906447283753
median,0.16869918699186992,0.4146341463414634,0.6103238866396754,0.0,0.2631578947368419,0.3671373555840818,0.3671373555840818,0.5,0.7435897435897432,0.15192307692307694,0.15192307692307694,0.45764997822080256,-0.3991861288182277,-0.06699796937084876,-0.9331429967527541,-0.5736650472938152,-0.5736650472938152,0.3174481232438484,-0.3805977614074748,-0.3157931543469519,0.3805061912733656,0.3805061912733656,-0.08443927117092265,0.21811744835371263,-1.2668989796252648,-1.1560254166804174,-4.723677829545979,-4.723677829545979,-0.052125056027529024,0.43687947390695836
std,0.028324433938935894,0.04320429598417197,0.059614608025362066,0.024779755628627678,0.028480020423335854,0.03845557427866861,0.03845557427866861,0.046028976081194724,0.07583725911413935,0.014985006286710347,0.01601656882579584,0.13613832966835115,0.11905144349872765,0.0994201758971557,0.12465931629994406,0.09668369512640189,0.09668369512640189,0.15992388041654768,0.1619068315720691,0.541769720645147,0.12461196173203538,0.12461196173203538,0.2862610601451957,0.18496434975322426,0.2774593390455843,0.34961355164378205,28.938165510380557,28.938165510380557,0.014865878236647468,3.0598792940029336
percentile_25,0.15384615384615377,0.39129072681704197,0.5582317073170732,0.0,0.2439024390243902,0.3394308943089431,0.3394308943089431,0.46294559099437127,0.6918498168498166,0.14634146341463428,0.14202657807308966,0.3909141926647217,-0.4902649115221449,-0.1226164720171696,-1.0396079945662047,-0.6320620845194739,-0.6320620845194739,0.1862131265525223,-0.45729734029252334,-0.5332339852610919,0.27448613977856556,0.27448613977856556,-0.2434046251846548,0.06843471549311195,-1.3728787682616335,-1.260639355931168,-11.695380745883,-11.695380745883,-0.06597292662428451,0.17415575224825594
percentile_75,0.18066801619433193,0.4387651821862347,0.6573308270676687,0.024542682926829266,0.28296703296703274,0.3974039829302989,0.3974039829302989,0.5294642857142853,0.7723214285714279,0.16216216216216217,0.16216216216216217,0.5078351650360309,-0.34136648432430794,-0.020055003789449646,-0.8514865161179419,-0.5228357169749175,-0.5228357169749175,0.36804440608968153,-0.22222912074697007,-0.07941316824327323,0.4033974773085787,0.4033974773085787,0.06048113128616451,0.30775743094394215,-1.0919249796662964,-1.0288108513041432,-2.795446798040139,-2.795446798040139,-0.043965198039775125,0.9828439556055245
iqr,0.026821862348178155,0.04747445536919276,0.09909911975059549,0.024542682926829266,0.03906459394264253,0.057973088621355806,0.057973088621355806,0.066518694719914,0.08047161172161132,0.015820698747527895,0.02013558408907251,0.11692097237130916,0.14889842719783697,0.10256146822771996,0.18812147844826277,0.10922636754455639,0.10922636754455639,0.18183127953715922,0.23506821954555326,0.4538208170178187,0.12891133753001316,0.12891133753001316,0.30388575647081933,0.2393227154508302,0.28095378859533704,0.23182850462702476,8.899933947842861,8.899933947842861,0.02200772858450939,0.8086882033572685
skew,2.6562048377942884,0.7450712189135023,-0.0799162444497375,2.9547281074106255,1.1279693396661794,0.38644856330258515,0.38644856330258515,-0.033917309903312376,-0.2823723708749854,0.07468362593297825,-0.5401028305871739,1.4418635400283701,0.8483949250587381,-0.12220310642092229,0.4163816564495785,-0.9047358309599898,-0.9047358309599898,0.22607683285903757,-0.45161146816404457,-0.6242482963658187,-0.4956445364748125,-0.4956445364748125,0.09378162768220856,0.6868107264017995,0.07356878368568621,0.3401911494350023,-2.024499450324047,-2.024499450324047,0.7079054731443405,4.353601106597553
kurtosis,8.596116282743191,1.561310796486386,-0.9797187893285528,9.887860691403395,2.091880486409784,-0.9591628197709356,-0.9591628197709356,-0.4658714100398633,0.26308425339582886,0.946005429777224,0.08898976203967424,1.978127932251387,1.3532767928694742,0.0346263990657687,-0.07025313219851759,1.456871154647275,1.456871154647275,-0.27450834306197924,-0.15384064704698064,1.529662568216084,-0.2595657829812401,-0.2595657829812401,-0.5918264463319409,0.06188617939683683,-0.12111460977546473,3.2285143112428853,5.755129821596022,5.755129821596022,1.0035882835764154,17.67961833030918
mad,0.01813778919331284,0.03166685903027038,0.05171327116100164,0.016584718332954804,0.022033470109222877,0.03306104176672659,0.03306104176672659,0.03677836367704115,0.05800242301160302,0.010769447013014697,0.012612068588994723,0.09892281219409875,0.08936279867995583,0.07749737377654568,0.09653792738530372,0.07382553070692867,0.07382553070692867,0.12407574255501164,0.1334527671248888,0.3777227440642676,0.09691826213464845,0.09691826213464845,0.23101705732416922,0.1423955613721605,0.21929306589038058,0.2194315108441114,17.153360101980677,17.153360101980677,0.011798011322197507,1.2898569731213911
