Statistics,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
mean,0.31648434904406353,0.3880141916948631,0.552035726516473,0.10294704803445696,0.24274082905850658,0.3209413709794539,0.3680550416225364,0.46622847442406584,0.6049141279484165,0.2166780713226838,0.12091676410255664,0.3519044914487569,-0.2672235363883792,0.07838496792658531,-1.410472316489656,-0.5194512546271487,-2.2831442505214183,2.4020967506360544,-1.360371042601888,1.0265555696947117,0.8910210618625075,-0.8726719340317621,-1.0099735619771435,1.3921231886589107,-3.8125690671257106,-0.4952833308736477,1.4682286770171058,1.4682286770171058,-0.011384128625473017,-0.92290612776095
median,0.14285714285714274,0.3282442748091603,0.4651162790697676,0.040816326530612214,0.18604651162790706,0.27906976744186063,0.29411764705882365,0.3921568627450982,0.5245901639344263,0.11320754716981131,0.11320754716981134,0.33643887946846457,-0.23253847568387956,0.0639067637376802,-0.9672618160869922,-0.5113376139491038,-0.6463177335177416,0.30407891641541274,-0.38478270045940205,0.5901452480561832,0.3395665548104774,0.33375496745535016,-0.26637864373659464,0.12425470710369285,-1.4464598371821895,-0.4194606412218442,1.9252134755068824,1.9252134755068824,-0.014353770742252216,0.18191832931392615
std,0.2823499740763799,0.221432560759274,0.33482136338972535,0.18333418668444712,0.20122093404829788,0.241921049254158,0.2755891780432702,0.2963526243606971,0.3106003867257974,0.21776196276115883,0.028949290478589188,0.19510198596276762,0.08781594093881365,0.22774337682751508,2.373830971501122,1.430047670678928,3.923447374873612,4.495809973809432,1.9940082884226298,1.4487770244106672,1.2589840448554237,5.151284807740104,1.6180309490427387,4.32972696247397,4.377709610961639,0.4068876158685904,5.0119664203282435,5.0119664203282435,0.007333404147603933,4.08497031142322
percentile_25,0.11696306429548568,0.30000000000000004,0.43137254901960775,-0.009803921568627449,0.154767250411615,0.21345179293091288,0.26698586411308717,0.36251709986320113,0.5049019607843137,0.095531235750114,0.1014492753623188,0.21641954675494343,-0.30425577598547704,0.021517276658778808,-1.3715484714146677,-0.8420805328870808,-1.5899473380233546,0.21522410438113584,-1.3457761499019187,0.4971524856351186,0.22771757370602133,0.10734090275195154,-1.525798849717474,-0.35316903793855,-4.661752232939927,-0.5257681556066358,0.4629799226883917,0.4629799226883917,-0.0177368469863005,-0.81939392242356
percentile_75,0.46552055936878584,0.3469387755102038,0.4754098360655738,0.10754147812971346,0.21224489795918358,0.3001200480192076,0.3251923720307794,0.44761904761904747,0.5447527848348644,0.18146027201145304,0.1346153846153847,0.4374759976133055,-0.21494279555768092,0.10448248039833485,-0.6473812606113118,-0.06505016197991273,-0.47068340192489305,2.28649020959394,-0.2307340882657184,0.7712805050428029,1.2528515177864716,0.43399036513524974,-0.04619474838450803,0.3376144852419709,-0.9270943120452196,-0.3401377223968944,3.9040966280773555,3.9040966280773555,-0.004157400391901971,1.1645838517524538
iqr,0.34855749507330014,0.046938775510203756,0.044037287045966045,0.1173453996983409,0.057477647547568594,0.08666825508829473,0.05820650791769222,0.08510194775584634,0.03985082405055074,0.08592903626133903,0.03316610925306589,0.2210564508583621,0.08931298042779612,0.08296520373955604,0.7241672108033559,0.7770303709071681,1.1192639360984615,2.0712661052128043,1.1150420616362005,0.2741280194076843,1.0251339440804503,0.3266494623832982,1.479604101332966,0.6907835231805208,3.734657920894707,0.18563043320974143,3.4411167053889637,3.4411167053889637,0.013579446594398529,1.9839777741760138
skew,0.9567738931222542,2.258123395130216,2.1959625899289668,2.2713574415798075,2.590242806160783,2.4784787446440584,2.5696712324899154,2.5028827163104936,2.278754363102928,1.6445085972412459,0.7476494659728491,0.8256231561904808,-1.195241416947959,1.0789980953433758,-1.4465911108442329,-0.7638203748534452,-2.524194096266579,2.4492046279300674,-2.2402569391690967,2.390612550626828,1.1937650317427717,-2.5802981278777457,-1.1059870125697266,2.7567278794374417,-1.2956704835753092,-0.6587047747668803,-1.5077185361839494,-1.5077185361839494,0.46904320614830036,-2.2770502766742027
kurtosis,-0.8655132308233897,3.53981607721832,3.3602613855198866,4.126853394666781,5.233388680191199,4.941508203098665,5.182196813157876,5.023016969078263,4.253277327225305,1.022396513929066,-0.3158735322854347,0.07475560418257521,0.6084098907570934,1.5386848945832874,2.7659453132380625,1.1206988316464033,4.897594177116121,4.642800209155069,3.8676760752738018,4.647869399598816,0.48365059306412395,5.317384207252299,0.2592112748157418,5.795166656212539,0.03372663503304629,0.054849220226109274,2.091901238081782,2.091901238081782,-1.4697634132464494,4.094158846611644
mad,0.24435910788268608,0.13720316434690966,0.212967448212233,0.11567138310945992,0.11926399354770298,0.13840056046087706,0.16272014666351756,0.16718579266199413,0.19539737265915902,0.16356324799869995,0.02355884922597125,0.15271733790656458,0.06851281341114279,0.13960369895017882,1.4403009690940163,0.935882425691529,2.4897013110449624,2.9476687872742415,1.326081276741786,0.8892956606339255,0.9967041350199537,2.8902045406149925,1.271169609285075,2.467617448865579,3.6579853606373693,0.28470041029865883,3.3525275790554865,3.3525275790554865,0.006720294307272102,2.6062654463930452
