Statistics,IPR,Tsys/Tdia,Tpw25/Tpi,Tpw50/Tpi,Tpw75/Tpi,Tpw25/Tsp,Tpw50/Tsp,Tpw75/Tsp,Tdw10/Tsw10,Tdw25/Tsw25,Tdw33/Tsw33,Tdw50/Tsw50,Tdw66/Tsw66,Tdw75/Tsw75,Tdw90/Tsw90,Tsp/Tpi,Asp/Aoff,Adp/Asp,IPA,Tsp/Asp,Asp/deltaT,Asp/(Tpi-Tsp)
mean,56.742361149549545,1.0984390421874746,0.7840032684412193,0.5312087698361535,0.404086897632564,3.2827578338715497,2.2043165051404885,1.7186708391384713,2.7754562431033025,3.4600108225108226,2.8193339959789623,3.4863691863691866,3.889522677757974,5.217803030303038,3.5291375291375644,0.264028782629789,4.848754760252223,0.6614805399499261,1.3602381227604683,15.30928122468294,2.810523923273311,0.9779954236170308
median,70.58823529411764,0.9531578947368429,0.843137254901961,0.5970149253731344,0.4328358208955226,3.1428571428571423,2.0000000000000013,1.4500000000000015,2.9999999999999956,3.3999999999999924,3.0,3.8888888888888777,4.999999999999973,4.79999999999999,2.0,0.25490196078431393,-1.001803911527786,0.7698715762036642,1.2168645498526178,0.24898453351613506,3.380801636682754,1.3933693838661332
std,21.149993323263562,0.557117850773492,0.1359429685937746,0.23342657161209485,0.2519894228939541,1.0156331665173113,1.0036615656704724,1.3171562809857413,1.3985178201580244,1.3247587143791801,1.159974150558172,1.3501900452847806,2.461471145487167,6.324602257953008,4.351309904092228,0.10592510682089101,29.786098264403158,0.26967251694044936,0.8000005441742042,31.213380881709547,2.247311148906136,0.7908828026780369
percentile_25,39.12605042016807,0.7884615384615385,0.7842717258261935,0.29495513642190063,0.15715292459478514,2.787593984962406,1.56575682382134,0.5576923076923064,1.9558823529411764,2.589583333333337,2.051136363636357,2.4583333333333437,0.9044117647058783,1.0312499999999982,1.0769230769230766,0.19780650215432816,-1.444584977752305,0.5259537885087261,0.8183415962929677,0.21095941910846283,0.3157058690609049,0.08261233916538578
percentile_75,71.29411764705884,1.3924418604651148,0.8603720527795803,0.7669683257918557,0.6190476190476188,4.155797101449276,2.9285714285714284,2.458333333333333,3.7000000000000006,4.449999999999996,3.70138888888889,4.285714285714286,5.625000000000007,5.316666666666648,4.249999999999992,0.29211087420042625,-0.456647228081389,0.8503428949073077,1.6579901589107868,3.818105725030555,4.792322696478109,1.6946490191781116
iqr,32.16806722689077,0.6039803220035762,0.07610032695338675,0.47201318936995507,0.4618946944528337,1.3682031164868702,1.3628146047500884,1.9006410256410267,1.7441176470588242,1.8604166666666586,1.650252525252533,1.827380952380942,4.720588235294128,4.2854166666666496,3.1730769230769154,0.0943043720460981,0.987937749670916,0.32438910639858165,0.8396485626178192,3.607146305922092,4.476616827417205,1.612036680012726
skew,-0.6204158494158364,0.8274722336203713,-1.7222743271440126,-0.053819445338273576,-0.012528248331993407,-0.09129667879589158,0.012930597550165653,0.9290618847758305,-0.1197370204830689,-0.23347320747692804,-0.22651220235546582,-0.5532673772797704,-0.32346204505617876,2.321703361248605,2.2175802168738525,1.7101273552827103,1.9911578362711084,-0.8885509144982562,0.9161557355984431,1.951247148005125,-0.1321040858263968,-0.14117237289247167
kurtosis,-1.1139245402232805,-0.0866633414529927,2.0918151573140165,-1.8491099350156104,-1.4614895589681984,-0.8419523516308662,-0.9937677268594984,0.41377128876103253,-0.7192955097671563,-0.7474558999599266,-1.0625591223209376,-0.7620728381604818,-1.5650762122080641,4.4104839577436525,3.8854737366519245,2.6372424795522296,4.0549898461386675,-0.7632823690478454,0.104119559764138,2.2283920064233342,-1.6709972183284563,-1.745226507764494
mad,18.68634350287077,0.4424365746875143,0.09440973943136223,0.2257618284491102,0.2293442272178762,0.8332124649298202,0.8497367363394394,1.0563026960535304,1.1445239252725885,1.0787780401416738,0.9940987332133173,1.1464969374060265,2.270910531338342,3.6933195592286654,2.9235007416826093,0.07172335316303656,16.556470779055886,0.23195486473282995,0.6290398583077779,23.015901841592218,2.0762744185402378,0.758919180501475
