Statistics,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
mean,0.5545454545454546,0.3888888888888889,0.5259259259259258,0.13484848484848486,0.2727272727272727,0.3515151515151515,0.4636363636363636,0.5833333333333333,0.7318181818181817,0.0787878787878788,0.19090909090909094,0.33787878787878783,0.5484848484848485,0.41166666666666674,0.195
median,0.11666666666666667,0.2833333333333333,0.4166666666666667,0.03333333333333333,0.18333333333333332,0.25,0.25,0.35,0.5333333333333333,0.06666666666666668,0.06666666666666671,0.25,0.4,0.24166666666666667,0.075
std,0.7674268599075886,0.21872244094477253,0.26978627928110094,0.1739985117570375,0.16926351568204775,0.1941641689856971,0.36699834735392783,0.4071333636016284,0.40790512770100723,0.03559800037718405,0.26698500282888027,0.1698321972024491,0.2885399107116066,0.4024956866573576,0.2640549185302179
percentile_25,0.1,0.25,0.36666666666666664,-0.008333333333333333,0.15833333333333333,0.225,0.225,0.31666666666666665,0.44166666666666665,0.06666666666666668,0.06666666666666668,0.225,0.375,0.1875,0.05416666666666667
percentile_75,0.6333333333333333,0.4,0.48333333333333334,0.21666666666666667,0.3416666666666667,0.3833333333333333,0.5,0.7166666666666667,0.8666666666666667,0.08333333333333334,0.15833333333333333,0.375,0.5416666666666667,0.29583333333333334,0.15833333333333333
iqr,0.5333333333333333,0.15000000000000002,0.1166666666666667,0.225,0.18333333333333335,0.1583333333333333,0.275,0.4,0.42500000000000004,0.016666666666666663,0.09166666666666665,0.15,0.16666666666666674,0.10833333333333334,0.10416666666666666
skew,1.9085532069988924,1.2480425383657425,2.049384866575789,1.0927984914602515,1.6659784222582628,1.9285598144687024,1.4748148950259423,1.258782572275121,1.2155352430297444,0.9729306979269844,2.469810750084399,1.8964455145482597,1.638269780512054,1.6053266914394329,1.8815600505177215
kurtosis,2.5423524914495017,-0.13264432882414257,2.8321760731011842,0.28566495363612576,2.1430095075197233,2.910555459813194,0.7201240700303826,0.06736790448594032,0.05123937308923843,1.3432971014492763,4.700381656514735,2.865947780031002,1.3182637892253748,0.9197691310067779,2.235879193391554
mad,0.5542699724517907,0.17777777777777778,0.18477366255144023,0.14710743801652895,0.12782369146005512,0.13526170798898074,0.2895316804407713,0.3424242424242424,0.34022038567493107,0.02451790633608816,0.17465564738292014,0.12011019283746557,0.20991735537190082,0.31200000000000006,0.19200000000000003
