Statistics,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
mean,0.14264414926849142,0.4265012837690714,0.5377415338801185,0.007485378363348228,0.15861758791438024,0.26016772324165316,0.32605386590144503,0.48058279131843634,0.5962138250065908,0.13155668800640044,0.2526633999526751,0.2962976692317415,-0.25205539669241384,-0.06277565124320349,-0.7390648628185736,-0.1820432613074972,-0.41684642584234677,0.2375713000783997,-0.32549144285503523,1.082288052902152,0.5570216015110764,0.3222184369762268,-0.3777464757471294,-0.14017517566872958,-0.9766361628969732,-0.014278937551028183,2.4966501346532066,2.4966501346532066,-0.027450876215454455,0.9256469529285697
median,0.11130434782608697,0.3934081346423563,0.4815334268349697,0.004545454545454549,0.15783514492753628,0.23768255496709992,0.23768255496709992,0.42121212121212137,0.5044097693351426,0.10714285714285712,0.22183235867446394,0.3154936856380842,-0.24984056981849745,-0.12081022018356352,-0.7137432532638082,-0.09228396198019595,-0.42804077942831087,0.1280798247010419,-0.27265340525421167,0.9933591105566939,0.5889429957846695,0.3382779208327731,-0.4002416819095772,-0.296984004254207,-0.836039143018376,-0.006299152010353576,2.4710510712071554,2.4710510712071554,-0.020934969864025103,0.8148006371785692
std,0.1184031467918898,0.2058143113127412,0.24194288396546165,0.014108976936891974,0.04469026587127965,0.08812079549169746,0.1536782304759995,0.23501398372385485,0.26317907840733207,0.1088837408111944,0.15172488338402546,0.0961306547606762,0.12113655665508363,0.21284151662802225,0.0971894781987062,0.30384214135516574,0.12691545878883445,0.37969285475565306,0.30608378450608165,0.42827614236380523,0.28501096479540805,0.10335014041841513,0.5693606472254737,0.35824008984993816,0.43534314745480124,0.2804505375686281,1.3782058290108663,1.3782058290108663,0.02561877138390173,2.2347990842129817
percentile_25,0.09531250000000002,0.25926339285714284,0.33333333333333315,0.0,0.13248847926267276,0.2033333333333333,0.2146875,0.2777901785714285,0.3970814132104452,0.09859446052087648,0.11276455026455026,0.2207690249543372,-0.3326611265212933,-0.20429110730540184,-0.7976189382129061,-0.47162437035685806,-0.47708095855545496,0.07075511826174372,-0.3341044551284166,0.7936524206644857,0.28092598217406295,0.25942208389015053,-0.545164526966645,-0.4505550857306629,-0.9840885669946808,-0.2058189937848089,1.7489525046840364,1.7489525046840364,-0.024054274963786274,0.04622870713725295
percentile_75,0.13407960199004976,0.6003144654088051,0.7535377358490566,0.01444099378881988,0.18227611940298508,0.3125,0.4291666666666667,0.6995283018867924,0.8409591194968553,0.1138433515482696,0.39607279693486586,0.33515372875337557,-0.1770824318917405,-0.0062576043283136045,-0.6613452277885548,0.09009815095065835,-0.3571178188243373,0.2129098553769827,-0.1862176168144337,1.411933438133051,0.8115341329317182,0.38375359155791317,0.04138032770650339,0.18588709231021816,-0.7566449713327235,0.2547416610698513,3.045595607855292,3.045595607855292,-0.0156311380258043,1.4756758983261238
iqr,0.038767101990049735,0.3410510725516622,0.42020440251572344,0.01444099378881988,0.04978764014031231,0.10916666666666669,0.2144791666666667,0.42173812331536387,0.4438777062864101,0.01524889102739313,0.2833082466703156,0.11438470379903837,0.15557869462955282,0.19803350297708824,0.13627371042435132,0.5617225213075164,0.11996313973111766,0.142154737115239,0.1478868383139829,0.6182810174685653,0.5306081507576552,0.12433150766776263,0.5865448546731483,0.6364421780408811,0.22744359566195738,0.4605606548546602,1.2966431031712555,1.2966431031712555,0.008423136937981975,1.4294471911888709
skew,2.930047531090842,0.20449842976921637,0.2420017626655301,0.9169394479064757,-0.10855724818682455,0.33163926002060395,0.5053402912215729,0.26277302036891526,0.32228925857424573,3.121444404193452,0.18684457866821796,0.32316479447486,0.2561902929653503,2.0638339679905653,-0.8795344458303549,-0.2510333996885571,-0.4127642420142917,3.094562221318691,-2.226091754649879,0.504721057030311,0.009882101258241715,-0.21952249188943618,-1.4856702427165405,0.3616683874855443,-2.6684924782550112,-0.33437536646629396,0.5437193643502768,0.5437193643502768,-2.4864798835675854,-0.47321137400377167
kurtosis,7.51482058037873,-1.3562295786000231,-1.3772191049912041,1.2130423438120346,-0.23056890611827408,-0.47419012208993205,-0.9640684150124708,-1.4343637506153246,-1.2673238530611153,8.276556475125124,-1.526568134874178,-0.5500440661616195,-0.7925299908725099,4.133135654683018,0.069604713964456,-1.4574997440106503,0.3795410241060697,8.124751618409,4.953187337695701,-0.3577937083077094,-1.5236271883976047,-0.5135233738622946,2.4958322525989214,-1.435982811536135,6.298396476986879,-0.9325222907291062,0.5054013414167602,0.5054013414167602,5.341727399661744,1.9328277431187644
mad,0.06375441203854569,0.19021727832359045,0.21910938320294715,0.01093358960376726,0.03463103119269578,0.07307376082046012,0.13928130048359888,0.21359940433056696,0.23406499801925476,0.055911843608332616,0.14291043591425456,0.07811859579843487,0.09873043396282588,0.14691065410152784,0.07930792263758432,0.28091258393613006,0.09728984693567323,0.19732241827459945,0.18269479944938466,0.3530352164293035,0.26446193505897075,0.08325124693321014,0.40158810500610803,0.3347029615281114,0.2634241780653156,0.228583633969698,1.013517172716904,1.013517172716904,0.01578656385781758,1.4244859720471486
