Statistics,Tpi,Tpp,Tsys,Tdia,Tsp,Tdp,deltaT,Tsw10,Tsw25,Tsw33,Tsw50,Tsw66,Tsw75,Tsw90,Tdw10,Tdw25,Tdw33,Tdw50,Tdw66,Tdw75,Tdw90,Tpw10,Tpw25,Tpw33,Tpw50,Tpw66,Tpw75,Tpw90,Asp,Adn,Adp,Aoff,AUCpi,AUCsys,AUCdia
mean,1.088888888888889,1.0388888888888888,0.4688888888888888,0.5320512820512822,0.30444444444444435,0.5602564102564103,0.30897435897435904,0.21333333333333337,0.20444444444444446,0.22888888888888909,0.18333333333333332,0.15222222222222223,0.08222222222222228,0.04333333333333332,0.6244444444444442,0.5322222222222222,0.3888888888888889,0.39999999999999997,0.35444444444444445,0.2999999999999997,0.2922222222222222,0.8377777777777776,0.7366666666666666,0.617777777777778,0.5833333333333334,0.5066666666666667,0.38222222222222196,0.3355555555555555,0.37894254584816633,0.17629577095435406,0.3154231961006025,-0.019428855825530174,13.232004477443727,5.3158864845741896,7.916117992869538
median,1.1500000000000004,0.9166666666666679,0.35,0.43333333333333324,0.1999999999999993,0.45,0.2500000000000007,0.16666666666666607,0.13333333333333375,0.13333333333333286,0.10000000000000053,0.08333333333333393,0.06666666666666643,0.049999999999998934,0.4166666666666661,0.38333333333333286,0.34999999999999964,0.33333333333333304,0.21666666666666679,0.13333333333333286,0.06666666666666643,0.5999999999999996,0.6166666666666666,0.4833333333333334,0.43333333333333357,0.34999999999999987,0.20000000000000018,0.11666666666666714,0.3341733298922649,0.11532600482164633,0.31969284709835233,0.0011814074911554728,8.477223864591329,3.8392361769472267,4.268344076771317
std,0.4593742388924578,0.45630020440846825,0.20411204862785962,0.3743633649198103,0.1993012485016614,0.17644863923524162,0.11814365162572586,0.11534168242098651,0.10996071127767121,0.20552251986787112,0.19776529298921763,0.19822047831818826,0.05072316538005926,0.015869840952317697,0.45853497248045805,0.3420237519728423,0.2317139573368237,0.29382534494718676,0.3812487603703791,0.3317183097705598,0.4582521813678525,0.48183548239909174,0.3633282364576245,0.3117731052156397,0.34178182341197544,0.3962229077080131,0.3508965589197597,0.4534177481318828,0.22801162507941258,0.2369479088534502,0.14595277532916143,0.1510904548123838,26.34962618787397,9.659566357588817,16.831110540341275
percentile_25,0.6333333333333333,0.683333333333333,0.31666666666666665,0.21666666666666617,0.18333333333333313,0.4166666666666667,0.2333333333333324,0.13333333333333353,0.1166666666666667,0.1166666666666667,0.09999999999999964,0.06666666666666643,0.05833333333333357,0.033333333333333215,0.34999999999999987,0.3166666666666669,0.2749999999999999,0.19999999999999973,0.13333333333333353,0.09166666666666679,0.05000000000000049,0.5499999999999994,0.4916666666666667,0.4666666666666668,0.37499999999999956,0.25833333333333286,0.17500000000000004,0.09999999999999981,0.1742512852248139,0.009613606235630179,0.1873817029089494,-0.12791039346167096,5.899921245327331,1.2624882230658578,2.919505971215919
percentile_75,1.4416666666666678,1.1999999999999997,0.6083333333333334,0.7500000000000001,0.375,0.7,0.3500000000000001,0.3250000000000003,0.3000000000000004,0.28333333333333377,0.19999999999999973,0.125,0.08333333333333393,0.05000000000000071,0.833333333333333,0.6749999999999989,0.4166666666666665,0.4750000000000001,0.3000000000000005,0.33333333333333304,0.16666666666666607,1.125,0.9166666666666679,0.7999999999999998,0.7666666666666666,0.583333333333333,0.3916666666666657,0.20833333333333215,0.542435199932567,0.3832331641289454,0.4799807028699342,0.10034296888564351,9.635818711433636,5.5874418276272575,6.30566243728895
iqr,0.8083333333333345,0.5166666666666667,0.29166666666666674,0.5333333333333339,0.19166666666666687,0.28333333333333327,0.1166666666666677,0.19166666666666676,0.18333333333333368,0.16666666666666707,0.10000000000000009,0.05833333333333357,0.025000000000000355,0.016666666666667496,0.48333333333333317,0.35833333333333206,0.1416666666666666,0.27500000000000036,0.16666666666666696,0.24166666666666625,0.11666666666666559,0.5750000000000006,0.42500000000000115,0.33333333333333304,0.39166666666666705,0.3250000000000002,0.21666666666666567,0.10833333333333234,0.368183914707753,0.37361955789331525,0.2925989999609848,0.22825336234731447,3.735897466106305,4.3249536045614,3.386156466073031
skew,0.5557222582672607,1.601939192554637,1.1673284565888993,0.9944569762769155,1.8495560480929254,0.6341897546163817,1.062465633720275,0.704018451104331,0.5481585666648956,2.2280034642105653,2.8902488422074795,3.0857759179475712,2.2912163068800067,-0.055599356277577526,1.7285489742087485,1.0061089378812975,1.3034102365141829,1.175634271758396,2.1274287431069996,1.4387108104064936,1.8278418427321024,1.174475910716929,0.7906194289522863,0.6408404348885571,1.082441362168272,1.5825845253622517,1.5073356766037702,1.7984345411982037,0.40143206809647486,0.13864891238864308,0.1826612221013494,-0.0711569002302718,3.209823585883184,2.936931021773442,3.275524853263933
kurtosis,-0.4996957942205915,2.580825382220774,0.49316846230486133,0.1991699582035218,3.1352806493475818,-1.0822862829823754,0.010952093893919379,-0.9503133665011618,-1.3468638974097804,4.697037182871993,7.509830191115709,8.280495499611257,5.148417151425141,-0.9394463667819952,2.4394439607111824,-0.5460000828956786,1.1323107132194208,0.3237470785733363,3.7378678201452207,0.5863569424214159,1.9228530124795622,0.5368234643787404,-0.7176593702405833,-0.6881286924293661,0.06036179561218047,1.4195053957602637,0.7380202471789343,1.7796081430505222,-1.0328934494030781,-1.2100868590848628,-1.4089485830559705,-1.1034199733050458,9.004393750797284,7.912238000561324,9.269243053346578
mad,0.4029629629629633,0.3377777777777776,0.17377777777777775,0.31400394477317584,0.15200000000000008,0.1613412228796844,0.09566074950690338,0.1022222222222223,0.10311111111111117,0.14577777777777773,0.11555555555555548,0.11051851851851852,0.03200000000000019,0.013777777777777967,0.3570370370370371,0.28948148148148156,0.16370370370370368,0.23333333333333311,0.2671111111111111,0.26,0.3475555555555557,0.39925925925925915,0.29822222222222233,0.2592592592592591,0.28666666666666657,0.3164444444444445,0.27170370370370356,0.3457777777777777,0.1954259019472067,0.21054813221545465,0.12792884193192794,0.1324079982635752,12.891666988400436,5.0673937825076205,8.260694055933305
