Statistics,IPR,Tsys/Tdia,Tpw25/Tpi,Tpw50/Tpi,Tpw75/Tpi,Tpw25/Tsp,Tpw50/Tsp,Tpw75/Tsp,Tdw10/Tsw10,Tdw25/Tsw25,Tdw33/Tsw33,Tdw50/Tsw50,Tdw66/Tsw66,Tdw75/Tsw75,Tdw90/Tsw90,Tsp/Tpi,Asp/Aoff,Adp/Asp,IPA,Tsp/Asp,Asp/deltaT,Asp/(Tpi-Tsp)
mean,76.77826319686541,1.4280527147377933,0.7271173392378785,0.5407480365321132,0.3575347363605189,2.1273826197145516,1.5825897025476858,1.0464369080965714,2.259609438180865,2.2742544492544465,2.2499965642822795,2.1455971277399852,2.0421768707482952,1.890249433106575,1.4190476190476145,0.3430550131037593,-1.6777974740299282,0.7862157806938096,2.3417671781240603,0.14992164723386778,14.791303450684225,3.6079120056813876
median,78.26086956521739,1.3199999999999996,0.7272727272727273,0.5434782608695656,0.3600000000000006,2.1249999999999996,1.5882352941176514,1.0624999999999998,2.230769230769234,2.200000000000002,2.2222222222222148,2.1249999999999925,2.0000000000000306,1.8333333333333421,1.49999999999998,0.3404255319148935,-1.72056769793613,0.85671917394935,1.321651559527491,0.14245193210872756,15.238093443216972,3.659806504256967
std,3.7172583262985057,0.5770056611732199,0.02885386920512121,0.029348479168561516,0.02341156059055741,0.16149633107663003,0.13665573551676796,0.09811551528051905,0.3209304253367639,0.26057698078224645,0.2724289533297575,0.23872230679924866,0.25363903994356274,0.2515795095561211,0.301420170900265,0.017991859813451597,0.27550160869095197,0.1566523191626764,4.90191083386393,0.04476196041315817,4.9513086716863866,0.4353582382492914
percentile_25,73.46938775510206,1.0500000000000003,0.7199999999999991,0.5333333333333344,0.354166666666667,2.117647058823529,1.5625000000000007,1.0,2.0833333333333375,2.0909090909090953,2.0999999999999943,2.0,1.8571428571428505,1.6666666666666756,1.2500000000000067,0.3333333333333333,-1.7591859491114403,0.7699706345056369,0.32939235758915597,0.13493871244331634,11.99566666874982,3.5555551367506295
percentile_75,80.0,1.3875000000000002,0.7500000000000006,0.5555555555555559,0.3777777777777774,2.1999999999999993,1.6470588235294128,1.0714285714285732,2.3076923076923066,2.299999999999993,2.3333333333333255,2.1250000000000067,2.1666666666666563,2.0000000000000178,1.5000000000000018,0.35555555555555546,-1.6492639305218684,0.8951020819933173,2.0590957871920015,0.14627622968882173,19.20833976310321,3.7714638368146773
iqr,6.530612244897938,0.3374999999999999,0.03000000000000147,0.022222222222221477,0.02361111111111036,0.0823529411764703,0.08455882352941213,0.07142857142857317,0.22435897435896912,0.2090909090908979,0.23333333333333117,0.12500000000000666,0.30952380952380576,0.33333333333334214,0.24999999999999512,0.022222222222222143,0.10992201858957196,0.12513144748768046,1.7297034296028455,0.011337517245505385,7.212673094353391,0.21590870006404783
skew,-0.2580708839231015,1.515149782108746,-2.0994067630148505,-2.216215034707992,-1.4805219356645676,-1.5902499448368923,-1.819571282991849,-1.631334832217776,2.5496197067452173,1.5066683529845528,1.5420474509739523,1.178516487961293,0.14438647339499933,-0.058547430702987686,0.11997519146273755,0.8211495654062274,1.343360311547407,-1.170841065799822,3.354677434826178,4.065435146116376,-0.481633805393508,-2.7854352292592375
kurtosis,-1.3167751679059443,1.015355389006328,5.485595316556898,5.754112717604309,2.5344048830920753,4.330042857419715,5.349868342222889,3.875697572153044,7.927875794893774,3.145474656956167,3.2002684993216315,1.3277674712248269,0.031111645570481627,-0.689929388250496,-0.29258665881327994,1.5304322130004762,5.521356439985331,-0.25241181766611787,11.37439338873681,15.082425772325536,-1.058190441124249,8.777180544881867
mad,3.3733080874521315,0.3990266913606624,0.019309008371876202,0.018681363019665782,0.016565585383241287,0.09943850556095296,0.08149132668940647,0.06565102231368734,0.1904240883832716,0.17563045420188322,0.19403166750105486,0.1715977396249544,0.20064787819889607,0.20928625418421515,0.2435374149659818,0.013519229170962281,0.15435889576236117,0.1263315590240467,2.616873693784708,0.019066959176254176,4.107730242750314,0.2465516801517481
