Statistics,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
mean,0.3662600606176925,0.46429258399352397,0.6562671699738543,0.22499730979021582,0.3991579452142893,0.46533653551314685,0.4703870405636519,0.5170451958280399,0.749315744494115,0.14169293080302042,0.08543836257532321,0.364645884860451,-0.370526142731018,0.16049434140965738,-1.0728696467213792,-0.4601680338165368,-0.557359333775763,0.9172966117770638,-0.9280176164474586,0.5089317899625528,0.7652296810452784,0.6680383810860522,-1.0950929996927843,-0.2078703472695154,-1.9901662584984432,-1.0684812745820205,6.940005280165156,6.940005280165156,-0.008013847800234708,1.1290255310843964
median,0.15000000000000013,0.3794871794871796,0.6088235294117651,0.206896551724138,0.3103448275862071,0.3500000000000003,0.3500000000000003,0.4615384615384613,0.6764705882352945,0.1463414634146341,0.11842105263157905,0.38781085270353816,-0.3772370397845282,0.14880753715304118,-0.8804309260838219,-0.5581162529471995,-0.6211132779712109,0.64129294232375,-0.5478646294273386,0.18447275894838838,0.3814295827087635,0.3229381213471585,-0.38466461152481846,0.09425016493513488,-1.5482049355669585,-0.7168635069645882,9.091448362955495,9.091448362955495,-0.004981632118127925,0.5345182257553867
std,0.3783189111618552,0.23953191109669622,0.28954737743172376,0.27786061712952026,0.2686941306046452,0.3077845989440619,0.3045343542787821,0.28914116634559833,0.32069902844763326,0.23034401731365667,0.08713893472834773,1.492848812605541,0.48697513754612204,0.2808246294506143,0.7972089177268716,0.34729373099982247,0.3058923945424654,1.1604466414367993,1.1869041971537682,0.7078765976795277,1.0819870154061215,1.1205568523555167,2.679273758238311,1.334560867936833,1.897772918586635,1.1414576456960537,10.54358140523765,10.54358140523765,0.005896319647128914,1.939232790876407
percentile_25,0.09999999999999996,0.3130647590361445,0.46392045454545433,0.0,0.21955128205128188,0.27310606060606035,0.29513888888888873,0.35328282828282837,0.5357954545454545,0.06002651978784171,0.06263061650992686,0.3103456298956975,-0.5094696935795053,-0.07090685621429742,-1.0362819175735563,-0.6613026005988754,-0.7586327794316285,0.28381030264650353,-0.8028067857699703,0.13171993456787282,0.24269486651102765,0.22087247438307417,-0.7329276215617516,-0.017360241026665047,-1.7094036814138494,-0.9788337624171399,1.6206321758980198,1.6206321758980198,-0.010878208672517167,0.2297736793133578
percentile_75,0.6491228070175441,0.5014705882352943,0.7457831325301204,0.3140562248995984,0.43724899598393574,0.47696078431372557,0.47696078431372557,0.5483746130030961,0.7416666666666669,0.1710526315789475,0.1485157874834562,0.5590788180613273,-0.3398693167128362,0.3268878116058609,-0.6711478720160391,-0.41002362987199337,-0.4496750836659848,1.0,-0.39686273900144603,0.7253134460057309,0.7032762521113185,0.6010167305556122,0.1331656916013759,0.4108544077804326,-1.1606604067201052,-0.69566522459573,13.65957104160372,13.65957104160372,-0.0038774574723771022,0.8409559682372758
iqr,0.5491228070175441,0.18840582919914983,0.2818626779846661,0.3140562248995984,0.21769771393265386,0.20385472370766522,0.18182189542483684,0.19509178472026772,0.2058712121212124,0.1110261117911058,0.08588517097352934,0.24873318816562984,0.16960037686666912,0.3977946678201583,0.36513404555751716,0.251278970726882,0.30895769576564375,0.7161896973534965,0.4059440467685243,0.5935935114378581,0.4605813856002908,0.38014425617253805,0.8660933131631275,0.42821464880709764,0.5487432746937442,0.28316853782140994,12.038938865705699,12.038938865705699,0.0070007512001400655,0.611182288923918
skew,1.0036936727596824,1.8258232980491758,1.877749310748958,1.6209940761245358,1.9630722354953258,1.840881160218687,1.8711306443609825,1.8794361123381855,1.5070203892787524,0.28000790713115403,-1.389016488208412,-1.313545893096915,1.0943831995064388,0.4712799447137367,-2.7855447997223526,1.01713444078472,1.4200450863387788,3.0391769559622595,-2.3189476623258996,1.3347549872912383,2.635504736094023,2.564867607785529,-2.7191462749649653,-2.6989232132101395,-3.2559199194216393,-2.518789594250746,-0.4677575489743053,-0.4677575489743053,-1.3688869269168231,2.3356624252958946
kurtosis,-0.5874405443654873,2.582112932461654,3.1913516575005128,2.454795720851558,3.5576978622952717,2.3539909328550577,2.4428330685622015,3.3015865140931933,1.3521953211477529,-0.30799748564516216,0.7327000452639787,4.893431758650938,1.9555967387495583,-0.8584925092189302,7.047290470715275,-0.11163012652946147,1.806495700555855,8.231636004708355,4.3301426178577,0.8580276275388319,5.381527255709594,5.192891243564439,5.67319193207671,5.615735712974354,9.119281346936775,5.035500918063519,-0.8904694812190654,-0.8904694812190654,0.953084240844059,4.280657852672567
mad,0.3365971800904412,0.17191787338659661,0.19900479375096114,0.20094627708169868,0.1875036250936254,0.2166496218744,0.21297652729221453,0.19447468416512723,0.22388655905242424,0.16378229261479504,0.0682097429395177,0.6795443721172464,0.29088238088773505,0.22840484161602145,0.4705108566047524,0.261805676902368,0.21883973228157372,0.6179050426438846,0.7466939331114109,0.5568094021169471,0.6179241577708937,0.6419969990767772,1.5214278419898406,0.7564597624419936,0.9847222204061841,0.6709372367989789,8.7806547308208,8.7806547308208,0.004773148046733186,1.2513519595205027
