Statistics,IPR,Tsys/Tdia,Tpw25/Tpi,Tpw50/Tpi,Tpw75/Tpi,Tpw25/Tsp,Tpw50/Tsp,Tpw75/Tsp,Tdw10/Tsw10,Tdw25/Tsw25,Tdw33/Tsw33,Tdw50/Tsw50,Tdw66/Tsw66,Tdw75/Tsw75,Tdw90/Tsw90,Tsp/Tpi,Asp/Aoff,Adp/Asp,IPA,Tsp/Asp,Asp/deltaT,Asp/(Tpi-Tsp)
mean,66.94476595672477,1.1492457677548962,0.6992028161546329,0.569508258466519,0.3282505940280617,3.098962608827678,2.388628219190439,1.7081324400514812,3.9177877132613994,3.5241225185726446,2.7727240660574006,3.8310860024178455,5.223741351241345,5.02031746031747,10.944444444444818,0.30126086491504317,-1.7654693933334005,1.0435467696409089,1.6892210794794564,1.3951868864147567,1.6380684146625792,0.7141885455734893
median,65.45454545454537,1.3571428571428548,0.7804878048780484,0.6578947368421062,0.3023255813953473,2.4615384615384595,2.0833333333333424,0.9090909090909093,2.300000000000005,2.5555555555555465,2.2727272727272667,3.1666666666666843,2.6000000000000107,1.9999999999999734,2.0,0.3157894736842096,-1.1506522091878397,0.7081556043677285,0.9967888087536914,0.9930517934077367,1.2746680221110203,0.5121299942231229
std,23.43266771348993,0.5607678367758702,0.2019416645095528,0.24044139242936974,0.18627552650892015,2.274423681721625,1.6725873446645405,2.0340814753180756,4.603141214443179,3.5305911380551667,3.3134012551566014,4.120798034264945,7.949573826279033,7.908455288750785,23.793900297304894,0.15041904376650053,1.3874964498404505,0.8773710092549577,1.8725705754957322,2.0406944446663866,1.2982179861055192,0.6374755314530314
percentile_25,50.154798761609925,0.6078431372549019,0.5086875167067628,0.3282647584973173,0.19078947368421056,1.9565217391304348,1.1828282828282795,0.565476190476189,1.9355555555555592,1.5163398692810435,1.3068181818181817,1.134615384615383,0.826388888888887,1.0999999999999759,1.0000000000000089,0.23934000741564712,-2.2748238525889404,0.58428859713664,0.9001606017016346,0.4446759347032816,0.563665691413206,0.27968538878793725
percentile_75,87.8571428571429,1.5833333333333333,0.8309716599190292,0.6934566145092463,0.42572805363503,2.7539184952977998,2.3636363636363633,1.9431818181818188,3.2309941520467786,3.008928571428565,2.8749999999999867,3.516666666666671,4.08333333333332,5.625000000000009,5.49999999999999,0.3366477272727274,-0.7271471367207297,0.9265069856217583,1.6180498670096592,1.2983020848959357,2.491182452338841,1.0270369664808525
iqr,37.70234409553298,0.9754901960784313,0.3222841432122664,0.36519185601192905,0.23493857995081946,0.7973967561673649,1.1808080808080839,1.3777056277056299,1.2954385964912194,1.4925887021475215,1.568181818181805,2.382051282051288,3.2569444444444327,4.525000000000033,4.499999999999981,0.09730771985708028,1.5476767158682105,0.3422183884851182,0.7178892653080247,0.8536261501926541,1.9275167609256347,0.7473515776929153
skew,0.18017602180365044,-0.4420246184857413,-0.9266081562133003,-0.3208085281889816,0.938649422332945,1.7220646471064367,1.3333796591630414,2.4356057355787253,2.752869717549963,1.9106626086420813,3.0774194794586838,1.77940259600475,2.4092466570781506,2.8918570533204084,2.9396096508505387,1.0141460421898507,-1.0366735015509954,2.389746466513044,2.3230981138581885,3.224126411010388,0.9779367161209587,1.0925030282751214
kurtosis,-0.8362818371182335,-1.3332199458696299,0.00444841076348812,-1.0573708594447018,0.11060678207659169,1.691764810729734,0.7793836925083042,5.394686947993575,6.622669236628589,2.0924956270569908,8.426140618204554,1.827049749289892,4.734442583310167,7.482938184544459,7.4419537324880185,1.9383600667377054,-0.15568816116885698,4.565110902490929,4.834234908536651,9.021063092882969,0.17511874950644168,0.10514062471975727
mad,19.812029918252357,0.509120094031937,0.17185311884957916,0.20708983445405396,0.14559161431966247,1.5979810940350694,1.201956119731232,1.3614374401580809,2.8344722162827476,2.3725732147931615,1.7069281171503439,2.6930557951112712,5.07240822140821,4.798052910052932,14.222222222222817,0.0995031478387763,1.1306489168058336,0.5707576884706151,1.25242301497534,1.0136654239798344,1.0799080504109357,0.5126137057101019
