Statistics,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
mean,0.36000000000000004,0.4583333333333333,0.6444444444444445,0.23666666666666664,0.39222222222222225,0.393939393939394,0.40606060606060607,0.48555555555555546,0.6378787878787878,0.07121212121212121,0.08333333333333333,0.45666666666666667,0.5454545454545455,0.1423076923076923,0.04814814814814815
median,0.1,0.35,0.55,0.26666666666666666,0.4166666666666667,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.5,0.06666666666666668,0.06666666666666668,0.48333333333333334,0.4,0.18333333333333332,0.05
std,0.35469339915962267,0.2451851152511929,0.2980906316732514,0.24428277482064523,0.23379847817097044,0.21987975677177862,0.23325461088394928,0.2246698538074847,0.23816331179549766,0.02021464252140354,0.054587525862581275,0.23315866478208128,0.21130796486335385,0.10813401478953612,0.04115946439054235
percentile_25,0.08333333333333333,0.24583333333333335,0.375,0.0,0.16666666666666666,0.225,0.225,0.3,0.44166666666666665,0.058333333333333334,0.058333333333333334,0.23333333333333334,0.38333333333333336,0.016666666666666666,0.016666666666666666
percentile_75,0.7333333333333334,0.6125,0.9666666666666666,0.3,0.45833333333333337,0.5166666666666666,0.5166666666666666,0.625,0.75,0.075,0.075,0.5333333333333333,0.6666666666666667,0.2,0.05
iqr,0.65,0.3666666666666667,0.5916666666666666,0.3,0.29166666666666674,0.29166666666666663,0.29166666666666663,0.325,0.30833333333333335,0.016666666666666663,0.016666666666666663,0.3,0.2833333333333334,0.18333333333333335,0.03333333333333334
skew,0.6786426830769359,0.6114685547267148,0.31724884618730986,0.7105443025624657,0.6803002428685848,1.0403408455679406,0.9075263046229884,0.8435165381616015,0.7337332183631918,0.9954454566214698,2.5150093070499246,0.6109511847118755,1.0319416507029615,-0.17322220576697367,1.4113319858781321
kurtosis,-1.3283743306992102,-1.195529808468021,-1.634189850905595,-0.5181053720037201,-0.5444284633775109,0.20201483754190175,-0.38283657533515036,-0.5113567180298833,-0.8299608293247824,0.04159828304507185,4.9426888825050295,-0.6182704061076114,0.2510272334970032,-0.7657714845795405,1.456875215132194
mad,0.32755555555555554,0.21805555555555559,0.2777777777777777,0.19422222222222224,0.18711111111111112,0.1903581267217631,0.20358126721763084,0.19570370370370369,0.21101928374655649,0.015702479338842976,0.03333333333333333,0.1897777777777778,0.18292011019283747,0.09013806706114397,0.02798353909465021
